,Date,HPA,HPD,Cie,Ligne,Esc 1,Immat,Type app,PKG,Remarque,Comment,Terminal,DATETIME,Graph_intervale,Brigade
63,2022-04-09,15:15:00,,DAH,6259,CZL,7TVUK,ATR72,PA1,ARRIVE 14:55,66PAX,T2,2022-04-09 15:15:00,"[6674, 6676]",Journee
64,2022-04-09,15:20:00,,DAH,2025,FCO,7TVKR,B738,P19,ARRIVE 15:26,138PAX,T4,2022-04-09 15:20:00,"[6675, 6685]",Journee
65,2022-04-09,,15:20:00,QTR,1380,DOH,,A332,P6B,DECOLLE 15:17,158PAX,T1,2022-04-09 15:20:00,"[6676, 6684]",Journee
66,2022-04-09,15:25:00,,DAH,3001,SVO,7TVKN,B738,P17,ARRIVE 17:34,54PAX,T4,2022-04-09 15:25:00,"[6680, 6690]",Journee
67,2022-04-09,15:35:00,,DTH,1517,HRM,7TVCT,B738,PA1,ARRIVE 14:30,31PAX,T2,2022-04-09 15:35:00,"[6694, 6696]",Journee
68,2022-04-09,,15:50:00,DAH,4602,JED,7TVJA,A330,PA2,DECOLLE 15:45,245PAX,T1,2022-04-09 15:50:00,"[6706, 6714]",Journee
69,2022-04-09,,16:00:00,DAH,6140,AZR,7TVUV,ATR72,PA1,DECOLLE 15:50,37PX ,T2,2022-04-09 16:00:00,"[6719, 6721]",Journee
70,2022-04-09,,16:00:00,DAH,6176,AAE,7TVUO,ATR72,PA1,DECOLLE 15:55,61PX,T2,2022-04-09 16:00:00,"[6719, 6721]",Journee
71,2022-04-09,,16:00:00,DAH,6192,CZL,7TVKE,B738,P10C,DECOLLE 16:03,96PX,T2,2022-04-09 16:00:00,"[6719, 6721]",Journee
72,2022-04-09,16:05:00,,DAH,6133,CBH,7TVVR,ATR72,PA1,ARRIVE 16:25,66PX,T2,2022-04-09 16:05:00,"[6724, 6726]",Journee
73,2022-04-09,16:15:00,,DTH,1155,HRM,7TVCD,B738,P12,ARRIVE 16:10,,T2,2022-04-09 16:15:00,"[6734, 6736]",Journee
74,2022-04-09,16:40:00,,DAH,6217,OGX,7TVUM,ATR72,PA1,ARRIVE 16:35,72PX,T2,2022-04-09 16:40:00,"[6759, 6761]",Journee
75,2022-04-09,,16:40:00,DTH,2114,CZL,7TVCB,B738,PA1,DECOLLE 16:15,07PX,T2,2022-04-09 16:40:00,"[6759, 6761]",Journee
76,2022-04-09,16:45:00,,DAH,2047,GVA,7TVKK,B738,P22C,ARRIVE 16:50,145PX,T4,2022-04-09 16:45:00,"[6760, 6770]",Journee
77,2022-04-09,,16:45:00,DAH,2014,BCN,7TVJZ,A330,P20,DECOLLE 17:25,AH 1011 ORY 15H10/149PAX,T4,2022-04-09 16:45:00,"[6760, 6770]",Journee
78,2022-04-09,16:55:00,,DAH,6229,HME,7TVUUT,ATR72,PA1,ARRIVE 17:00,,T2,2022-04-09 16:55:00,"[6774, 6776]",Journee
79,2022-04-09,16:55:00,,DTH,1327,AAE,7TVCF,B738,PA1,ARRIVE 17:25,98PAX,T2,2022-04-09 16:55:00,"[6774, 6776]",Journee
80,2022-04-09,17:05:00,,DAH,6239,TMR,7TVKA,B738,PA1,ARRIVE 17:10,124PX,T2,2022-04-09 17:05:00,"[6784, 6786]",Journee
81,2022-04-09,17:10:00,,DTH,2321,AZR,7TVCE,B738,PA1,ARRIVE 17:10,20PAX,T2,2022-04-09 17:10:00,"[6789, 6791]",Journee
82,2022-04-09,17:15:00,,DAH,6297,INZ,7TVUI,ATR72,PA1,ARRIVE 17:20,64PX,T2,2022-04-09 17:15:00,"[6794, 6796]",Journee
83,2022-04-09,,17:20:00,DAH,6222,HME,7TVJT,B736,P9,DECOLLE 17:09,DAH 6143 AZR 15H00/54PX,T2,2022-04-09 17:20:00,"[6799, 6801]",Journee
84,2022-04-09,17:30:00,,DAH,6185,ORN,7TVJS,B736,P9,ARRIVE 17:22,82PX,T2,2022-04-09 17:30:00,"[6809, 6811]",Journee
85,2022-04-09,17:40:00,,DAH,6057,GJL,7TVJU,B736,P11A,ARRIVE 16:45,102PX,T2,2022-04-09 17:40:00,"[6819, 6821]",Journee
86,2022-04-09,17:40:00,,DAH,6343,TMR,7TVKC,B738,PA1,ARRIVE 17:15,,T2,2022-04-09 17:40:00,"[6819, 6821]",Journee
87,2022-04-09,17:45:00,,DAH,6473,DJG,7TVKB,B738,PA1,ARRIVE 17:35,49PX,T2,2022-04-09 17:45:00,"[6824, 6826]",Journee
88,2022-04-09,18:00:00,,DAH,1021,MRS,7TVJW,A330,P21,ARRIVE 18:38,301PX,T4,2022-04-09 18:00:00,"[6835, 6845]",Journee
89,2022-04-09,,18:00:00,DTH,1802,HME,7TVCD,B738,P12,DECOLLE 17:44,SF 1155 HRM 1615/118PAX,T2,2022-04-09 18:00:00,"[6839, 6841]",Journee
90,2022-04-09,18:05:00,,VLG,7991,MRS,,A320,P16,ARRIVE 18:12,148PX,T4,2022-04-09 18:05:00,"[6840, 6850]",Journee
91,2022-04-09,18:20:00,,DAH,3017,IST,7TVKO,B738,P15,ARRIVE 18:34,107PX,T4,2022-04-09 18:20:00,"[6855, 6865]",Journee
92,2022-04-09,,18:20:00,DAH,6026,CZL,7TVJU,B736,P11A,DECOLLE 18:40,AH 6157 TMX 14H30 26PX,T4,2022-04-09 18:20:00,"[6855, 6865]",Journee
93,2022-04-09,,18:30:00,DAH,6106,ORN,7TVJS,B736,P9,DECOLLE 18:36,DAH 6185 AAE 17H30 69PX,T2,2022-04-09 18:30:00,"[6869, 6871]",Journee
94,2022-04-09,18:40:00,,DAH,6193,CZL,7TVKE,B738,P12,ARRIVE 18:44,88PX,T2,2022-04-09 18:40:00,"[6879, 6881]",Journee
95,2022-04-09,,18:40:00,DAH,6006,AAE,7TVKL,B738,P10C,DECOLLE 18:50,A TRACTE,T2,2022-04-09 18:40:00,"[6879, 6881]",Journee
96,2022-04-09,,19:05:00,VLG,7990,MRS,,A320,P16,DECOLLE 19:15,109PX,T4,2022-04-09 19:05:00,"[6900, 6910]",Nuit
97,2022-04-09,19:15:00,,DTH,1841,CZL,7TVCC,B738,P11A,ARRIVE 19:28,,T2,2022-04-09 19:15:00,"[6914, 6916]",Nuit
98,2022-04-09,19:25:00,,DAH,6177,AAE,7TVUO,ATR72,PA1,ARRIVE 19:30,66PX,T2,2022-04-09 19:25:00,"[6924, 6926]",Nuit
99,2022-04-09,19:25:00,,DAH,6521,ELG,7TVUQ,ATR72,PA1,ARRIVE 18:55,55PAX,T2,2022-04-09 19:25:00,"[6924, 6926]",Nuit
