,Date,HPA,HPD,Cie,Ligne,Esc 1,Immat,Type app,PKG,Remarque,Comment,Terminal,DATETIME,Graph_intervale,Brigade
136,2022-04-10,,11:25:00,LBT,131,,A320,TUN,P1,DECOLLE 11:42,,T1,2022-04-10 11:25:00,"[6441, 6449]",Journee
137,2022-04-10,11:40:00,,DAH,6171,7TVUK,ATR72,AAE,PA1,ARRIVE 11:30,34 PX,T2,2022-04-10 11:40:00,"[6459, 6461]",Journee
138,2022-04-10,11:50:00,,THY,651,,A321,IST,P2,ARRIVE 11:54,111 PX,T1,2022-04-10 11:50:00,"[6466, 6474]",Journee
139,2022-04-10,11:55:00,,MSR,845,,A330,CAI,P4B,ARRIVE 12:25,228 PX,T1,2022-04-10 11:55:00,"[6471, 6479]",Journee
140,2022-04-10,12:00:00,,DAH,6181,7TVVQ,ATR72,ORN,PA1,ARRIVE 11:45,29 PX,T2,2022-04-10 12:00:00,"[6479, 6481]",Journee
141,2022-04-10,,12:10:00,DAH,6266,7TVUN,ATR72,TGR,PA1,DECOLLE 12:05,31 PX,T2,2022-04-10 12:10:00,"[6489, 6491]",Journee
142,2022-04-10,12:25:00,,DAH,6217,7TVUO,ATR72,OGX,PA1,ARRIVE 12:30,,T2,2022-04-10 12:25:00,"[6504, 6506]",Journee
143,2022-04-10,,12:45:00,AFR,4145,,B777,ORY,P21,DECOLLE 12:38,,T4,2022-04-10 12:45:00,"[6520, 6530]",Journee
144,2022-04-10,,12:45:00,AFR,1855,,A320,CDG,P16,DECOLLE 12:40,,T4,2022-04-10 12:45:00,"[6520, 6530]",Journee
145,2022-04-10,,12:50:00,DAH,6252,7TVVQ,ATR72,ELU,PA1,DECOLLE 12:55,64 PX,T2,2022-04-10 12:50:00,"[6529, 6531]",Journee
146,2022-04-10,,12:55:00,MSR,846,,A330,CAI,P4B,DECOLLE 14:02,285 PX,T1,2022-04-10 12:55:00,"[6531, 6539]",Journee
147,2022-04-10,13:15:00,,QTR,1379,,A330,DOH,P4B,ARRIVE 14:24,220 PX/A COSTER A 14:33 CAUSE PRBM PASSERELLE,T1,2022-04-10 13:15:00,"[6551, 6559]",Journee
148,2022-04-10,13:15:00,,DAH,6191,7TVKG,B738,CZL,P12,ARRIVE 13:36,74 PX,T2,2022-04-10 13:15:00,"[6554, 6556]",Journee
